date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-08 23:59:59,CovidNewsBot,,0,0,0,"Experts Suggest New Child #Syndrome Is Result of #Covid19 | Social Reach: Low ",,,#Syndrome #Covid19,1270143569966309383,https://twitter.com/CovidNewsBot/status/1270143569966309383
2020-06-08 23:59:59,OTCMarketsExprt,,0,0,3,"#PEMTF Is Our Top Choice In The CBD Sector. Record Revenues + Rapidly Growing Customer Base [Huge Upside] Full Report | Click Here &gt;&gt; http://www.icontact-archive.com/archive?c=925383&amp;f=3061&amp;s=47575&amp;m=2655593&amp;t=26c3e87153f8ba47a77c9453161c2fea17ff9c99e6bb3e47722dea0cfee172ff #daytrader #investorrelations #nyse #nasdaq #weed #preciousmetals #stocktrading #swingtrader #profits #covid #covid19",,,#PEMTF #daytrader #investorrelations #nyse #nasdaq #weed #preciousmetals #stocktrading #swingtrader #profits #covid #covid19,1270143569190420486,https://twitter.com/OTCMarketsExprt/status/1270143569190420486
2020-06-08 23:59:58,jennaworldpeace,,0,0,0,"There is a pandemic bigger than #COVID19. It’s racism. It’s more contagious and harder to cure.",,,#COVID19,1270143565495181313,https://twitter.com/jennaworldpeace/status/1270143565495181313
2020-06-08 23:59:58,looniepatriot,,1,1,0,"Rioters BOMB Chicago Police #riot #riots #USAProtest #COVID19 ",,,#riot #riots #USAProtest #COVID19,1270143563028930561,https://twitter.com/looniepatriot/status/1270143563028930561
2020-06-08 23:59:56,MPPPlanifica,,0,2,2,"#HaceInstantes || Vp. Ejecutiva, @drodriven2 informó que en las últimas 24 horas #8Junio no se han reportado casos de #covid19 de transmisión comunitaria, además de 96 casos producto de contacto con viajeros (90 provenientes de Colombia y 6 del personal de apoyo)",,@drodriven2,#HaceInstantes #8Junio #covid19,1270143555475050498,https://twitter.com/MPPPlanifica/status/1270143555475050498
2020-06-08 23:59:56,ScienCell,,0,0,1,"SPECIAL ANNOUNCEMENT: FDA just approved our petition to add ScienCell Viral Isolation Kit (Cat #MB891) for EUA use! #FDA #EUA #RNA #coronavirus #COVID19 #testing https://www.sciencellonline.com/viral-rna-isolation-kit.html",,,#MB891 #FDA #EUA #RNA #coronavirus #COVID19 #testing,1270143555122716673,https://twitter.com/ScienCell/status/1270143555122716673
2020-06-08 23:59:55,OIMGuatemala,,0,2,3,"#COVID19 20 agencias de la #ONU apoyando la respuesta a la COVID-19 en #Guatemala https://guatemala.un.org/es/43710-20-agencias-de-la-onu-apoyando-respuesta-covid-19-en-guatemala",,,#COVID19 #ONU #Guatemala,1270143551821750273,https://twitter.com/OIMGuatemala/status/1270143551821750273
2020-06-08 23:59:55,sureboydavis,EchikaC,0,0,0,"Mosquito coil. Mabasi! When they say in Nigeria covid19 Isolation center kills faster than the virus itself this is a true testament to that saying. Yeye country Na to renovate National Assembly important pass.",,,,1270143550601269248,https://twitter.com/sureboydavis/status/1270143550601269248
2020-06-08 23:59:54,CPLSLaw,,0,0,0,"#christyfoley #emediation #cplspa #teepersad #lawfirm #covid19 http://cplspa.com LIKE &amp; SHARE! https://conta.cc/3f1FutO",,,#christyfoley #emediation #cplspa #teepersad #lawfirm #covid19,1270143548126609408,https://twitter.com/CPLSLaw/status/1270143548126609408
2020-06-08 23:59:53,Canda_Bisnis2,,0,0,2,"Bali lombok dll Sudah kena #COVID19 eh kena Ombak besar @BNPB_Indonesia",,@BNPB_Indonesia,#COVID19,1270143544523554816,https://twitter.com/Canda_Bisnis2/status/1270143544523554816
2020-06-08 23:59:53,luigiaguilar,,3,34,31,"Si #Cuba ha probado la eficacia de una #casiVacuna para el #COVID19, ¿Porqué la noticia tiene tan poco eco en los #MCS españoles y europeos? El #CIBG258 es un péptido que se usaba para otros fines que ha sido capaz de frenar la mortal inflamación pulmonar https://www.prensa-latina.cu/index.php?o=rn&amp;id=372305&amp;SEO=vacuna-cigb-258-para-complicados-de-covid-19-de-cuba-y-el-mundo-video",,,#Cuba #casiVacuna #COVID19 #MCS #CIBG258,1270143543219191809,https://twitter.com/luigiaguilar/status/1270143543219191809
2020-06-08 23:59:51,Tandioymm1998,RevistaSemana,0,0,0,"Porque ? Colombia no reconoce los casos de Covid19 de Connacionales Venezolanos que llegan a Venezuela por Táchira, apure, Zulia, Amazonas en total 1.587 !! Deben reconocer que No les proporcionan asistencia médica ",,,,1270143536403537921,https://twitter.com/Tandioymm1998/status/1270143536403537921
2020-06-08 23:59:49,JoelBaccas,,1,11,12,"I presume #Brexiters will step aside and let #Remainers have priority for medicines like the principled patriots they are #COVID19 #NHS drug stockpiles meant for no-deal Brexit 'used up entirely' in pandemic",,,#Brexiters #Remainers #COVID19 #NHS,1270143528124002304,https://twitter.com/JoelBaccas/status/1270143528124002304
2020-06-08 23:59:49,Much_Truth,,0,0,0,"People who work in hospitals wear proper gear and take proper precautions. But in Texas people are out and about thinking #COVID19 is over and done with. This was in the news just last week. Take precautions please. ",,,#COVID19,1270143526228176896,https://twitter.com/Much_Truth/status/1270143526228176896
2020-06-08 23:59:48,TimKirbyLA,,1,0,0,"A criminal of some kind, WTF obviously people aren't taking this seriously, my face being covered is called my personal PPE Personal Protective Equipment. Like what WTF because I'm protecting myself from #Covid19 I'm going to get pisted off. You are supposed to be covered up",,,#Covid19,1270143522545389568,https://twitter.com/TimKirbyLA/status/1270143522545389568
2020-06-08 23:59:48,TimKirbyLA,,1,0,0,"What is up with people really ? Your supposed to cover your face when you are in public. It doesn't matter the population of the city county or state, it's like people aren't taking #COVID19 seriously in the #USA why? Someone confronted me because my face was covered As if I was",,,#COVID19 #USA,1270143520481787905,https://twitter.com/TimKirbyLA/status/1270143520481787905
2020-06-08 23:59:47,ANI,,2,10,122,"Karnataka: Forum Fiza Mall in Mangaluru reopened for public yesterday; Ministry of Home Affairs allowed opening of shopping malls from June 8 with certain precautionary measures amid #COVID19 outbreak. ",,,#COVID19,1270143517981995008,https://twitter.com/ANI/status/1270143517981995008
2020-06-08 23:59:45,alcanzandohoy,GobiernoMX,0,1,0,"Conferencia de Prensa #COVID19 | 8 de junio de 2020 @berthaliciag #NuevaNormalidad",,@berthaliciag,#COVID19 #NuevaNormalidad #NuevaNormalidad,1270143508956004357,https://twitter.com/alcanzandohoy/status/1270143508956004357
2020-06-08 23:59:44,UCIrvineHealth,,0,0,0,"We invite you to join us tomorrow evening (6//9/20 - 6:00 PM PT) for a public webinar: Public Health and Health Care Implications of #COVID19. #coronavirus #publichealth",,,#COVID19 #coronavirus #publichealth,1270143506456215552,https://twitter.com/UCIrvineHealth/status/1270143506456215552
